height(cm),weight(kg),gender,size
177.8,88.45051215000001,Male,XX-Large
185.42000000000002,92.98643585,Male,XX-Large
175.26,77.1107029,Male,XL-Large
177.8,66.67807839000001,Male,Medium
180.34,79.83225712000001,Male,XL-Large
170.18,68.0388555,Male,Medium
185.42000000000002,88.45051215000001,Male,XX-Large
177.8,79.37866475,Male,XL-Large
172.72,77.1107029,Male,XX-Large
180.34,93.89362059,Male,XX-Large
175.26,79.37866475,Male,Large
177.8,86.1825503,Male,XX-Large
177.8,88.45051215000001,Male,XX-Large
180.34,120.20197805000001,Male,3X-Large
180.34,74.38914868,Male,Medium
180.34,80.73944186,Male,Large
177.8,74.84274105,Male,Large
172.72,77.1107029,Male,XL-Large
182.88,63.502931800000006,Male,Small
180.34,72.57477920000001,Male,Medium
172.72,82.10021897,Male,XX-Large
177.8,79.37866475,Male,Large
162.56,67.13167076,Male,XL-Large
165.1,78.01788764,Male,XL-Large
185.42000000000002,88.45051215000001,Male,XL-Large
175.26,90.718474,Male,XX-Large
170.18,73.48196394,Male,XL-Large
187.96,83.91458845000001,Male,XL-Large
152.4,77.1107029,Male,Large
195.58,102.51187562000001,Male,XL-Large
180.34,99.79032140000001,Male,X-Large
167.64000000000001,68.0388555,Male,Medium
175.26,95.2543977,Male,XX-Large
167.64000000000001,83.46099608,Male,XX-Large
167.64000000000001,85.27536556,Male,XX-Large
185.42000000000002,97.52235955,Male,XX-Large
185.42000000000002,68.0388555,Male,Medium
170.18,65.77089365,Male,Medium
172.72,68.0388555,Male,Large
172.72,90.718474,Male,XX-Large
172.72,84.82177319,Male,XX-Large
187.96,114.75886961,Male,XX-Large
170.18,86.1825503,Male,XX-Large
180.34,88.90410452,Male,XL-Large
185.42000000000002,79.37866475,Male,Medium
175.26,79.83225712000001,Male,XL-Large
170.18,81.6466266,Male,XL-Large
172.72,77.1107029,Male,XL-Large
180.34,68.0388555,Male,Small
177.8,88.45051215000001,Male,XL-Large
175.26,74.84274105,Male,Large
177.8,65.77089365,Male,Small
182.88,74.84274105,Male,Large
177.8,97.06876718000001,Male,XX-Large
172.72,88.90410452,Male,XX-Large
177.8,88.45051215000001,Male,XX-Large
180.34,87.54332741,Male,XL-Large
170.18,86.1825503,Male,XX-Large
180.34,91.62565874,Male,XX-Large
175.26,90.718474,Male,XX-Large
182.88,92.98643585,Male,XX-Large
172.72,70.30681735,Male,XL-Large
162.56,68.0388555,Male,XL-Large
172.72,78.92507238,Male,Medium
177.8,117.9340162,Male,3X-Large
185.42000000000002,97.52235955,Male,X-Large
172.72,80.73944186,Male,XL-Large
182.88,95.2543977,Male,XX-Large
177.8,86.1825503,Male,XL-Large
180.34,77.56429527,Male,Large
180.34,81.6466266,Male,XL-Large
175.26,101.60469088,Male,XX-Large
187.96,92.98643585,Male,XX-Large
175.26,88.45051215000001,Male,XL-Large
172.72,74.84274105,Male,Medium
172.72,86.63614267,Male,XX-Large
190.5,86.1825503,Male,XL-Large
182.88,97.52235955,Male,XX-Large
175.26,77.1107029,Male,XL-Large
180.34,99.79032140000001,Male,XX-Large
185.42000000000002,84.36818082,Male,Large
180.34,88.45051215000001,Male,XL-Large
175.26,102.05828325,Male,XX-Large
172.72,86.1825503,Male,Large
172.72,72.57477920000001,Male,Medium
182.88,87.99691978,Male,XL-Large
193.04,90.718474,Male,Large
177.8,92.98643585,Male,XL-Large
165.1,77.1107029,Male,XX-Large
177.8,68.0388555,Male,Medium
180.34,88.45051215000001,Male,XX-Large
180.34,87.99691978,Male,XX-Large
182.88,88.45051215000001,Male,XL-Large
180.34,81.6466266,Male,XL-Large
167.64000000000001,61.23496995,Male,Medium
193.04,98.88313666,Male,XX-Large
172.72,70.30681735,Male,Medium
193.04,86.1825503,Male,XL-Large
180.34,75.29633342000001,Male,Medium
177.8,81.6466266,Male,XL-Large
180.34,88.45051215000001,Male,XX-Large
175.26,90.718474,Male,XX-Large
175.26,92.98643585,Male,XX-Large
177.8,96.61517481,Male,XX-Large
175.26,67.13167076,Male,Medium
182.88,81.6466266,Male,Large
182.88,77.1107029,Male,Medium
170.18,95.2543977,Male,X-Large
175.26,83.91458845000001,Male,XL-Large
165.1,106.59420695,Male,X-Large
172.72,83.91458845000001,Male,XL-Large
182.88,79.37866475,Male,Medium
175.26,61.23496995,Male,Medium
172.72,68.0388555,Male,Medium
177.8,86.1825503,Male,XL-Large
182.88,92.98643585,Male,XX-Large
177.8,83.91458845000001,Male,XX-Large
180.34,74.84274105,Male,Medium
190.5,108.8621688,Male,XX-Large
175.26,99.79032140000001,Male,X-Large
177.8,88.45051215000001,Male,XX-Large
170.18,87.99691978,Male,XX-Large
175.26,88.45051215000001,Male,XX-Large
187.96,99.79032140000001,Male,X-Large
177.8,97.52235955,Male,XX-Large
175.26,81.6466266,Male,Large
175.26,95.2543977,Male,X-Large
175.26,81.6466266,Male,XX-Large
182.88,65.77089365,Male,Medium
175.26,87.54332741,Male,XL-Large
180.34,88.45051215000001,Male,XL-Large
177.8,111.13013065000001,Male,XX-Large
180.34,74.84274105,Male,Medium
185.42000000000002,95.2543977,Male,XX-Large
170.18,70.30681735,Male,Medium
182.88,97.52235955,Male,XX-Large
177.8,90.718474,Male,XX-Large
185.42000000000002,99.79032140000001,Male,XX-Large
182.88,79.37866475,Male,Large
172.72,93.89362059,Male,XX-Large
180.34,93.89362059,Male,XX-Large
175.26,95.2543977,Male,XX-Large
185.42000000000002,63.95652417,Male,Small
182.88,113.3980925,Male,X-Large
172.72,76.20351816,Male,Medium
180.34,68.0388555,Male,Medium
175.26,77.1107029,Male,XL-Large
175.26,105.23342984,Male,XX-Large
182.88,104.77983747,Male,X-Large
180.34,72.57477920000001,Male,Medium
185.42000000000002,93.89362059,Male,X-Large
185.42000000000002,88.90410452,Male,XX-Large
167.64000000000001,77.1107029,Male,XL-Large
162.56,91.17206637000001,Male,Large
175.26,78.47148001000001,Male,XL-Large
167.64000000000001,83.91458845000001,Male,Large
167.64000000000001,86.1825503,Male,XX-Large
165.1,58.9670081,Male,Medium
172.72,92.98643585,Male,XX-Large
180.34,81.6466266,Male,XL-Large
165.1,70.30681735,Male,XL-Large
170.18,71.66759446,Male,Medium
180.34,80.28584949,Male,XL-Large
185.42000000000002,68.0388555,Male,Small
172.72,84.36818082,Male,XX-Large
175.26,95.2543977,Male,XX-Large
172.72,96.16158244,Male,X-Large
182.88,104.32624510000001,Male,X-Large
175.26,79.37866475,Male,XL-Large
170.18,81.6466266,Male,XX-Large
182.88,97.52235955,Male,XX-Large
177.8,108.8621688,Male,3X-Large
175.26,90.718474,Male,XX-Large
175.26,80.28584949,Male,Large
180.34,84.36818082,Male,XL-Large
187.96,83.91458845000001,Male,XL-Large
172.72,90.718474,Male,Large
193.04,108.8621688,Male,XX-Large
167.64000000000001,87.08973504000001,Male,XX-Large
180.34,88.45051215000001,Male,XL-Large
170.18,86.1825503,Male,XX-Large
175.26,72.57477920000001,Male,XL-Large
177.8,97.52235955,Male,XX-Large
167.64000000000001,92.98643585,Male,XX-Large
175.26,86.1825503,Male,XX-Large
182.88,83.91458845000001,Male,XL-Large
185.42000000000002,84.82177319,Male,XX-Large
167.64000000000001,86.1825503,Male,XX-Large
193.04,108.8621688,Male,X-Large
182.88,82.10021897,Male,XL-Large
170.18,88.90410452,Male,X-Large
172.72,92.98643585,Male,XX-Large
172.72,88.45051215000001,Male,XX-Large
175.26,99.79032140000001,Male,X-Large
177.8,82.10021897,Male,XL-Large
